,x,y,floor,orientation,sample_id,timestamp,00:15:f9:6c:7d:71,00:11:21:6c:4e:72,00:11:21:6c:4e:71,00:15:f9:6c:7d:21,00:11:21:6c:4e:70,00:15:f9:6c:7d:20,00:15:f9:6c:7d:22,00:11:21:6c:50:e1,00:11:21:6c:50:e2,00:15:f9:6c:7d:70,00:15:f9:6c:7d:72,00:11:21:6c:50:e0,00:12:da:9e:32:31,00:12:da:9e:32:30,00:12:da:9e:32:32,00:11:21:66:75:82,00:11:21:66:75:81,00:15:f9:6c:7a:e1,00:15:f9:6c:7a:e0,00:11:21:66:75:80,00:15:f9:6c:7a:d2,00:15:f9:6c:7a:d1,00:15:f9:6c:7a:e2,00:15:f9:6c:7a:d0,00:17:df:7d:70:51,00:17:df:7d:70:52,00:17:df:7d:70:50,88:e3:ab:11:f4:ee,00:12:80:17:ac:ae,00:0f:60:06:71:2e,00:1b:fc:22:43:4e,00:12:da:9e:31:91,00:12:43:f1:c4:41,00:12:43:f1:c4:40,00:12:43:f1:c4:42,bc:14:01:9c:37:08,bc:14:01:9c:37:09,b0:5b:67:c2:a0:16,30:8d:99:64:aa:8d,scenario_name
0,0.0,0.5,2,128.723778,9.5,1461868543417.0,-83.9090909090909,,,,,,,,,-84.76923076923077,-84.85714285714286,,-87.0,,-86.0,-86.6875,-87.11111111111111,-57.95,-58.025,-86.83333333333333,-69.9,-70.1,-58.0,-69.975,-86.7948717948718,-86.70270270270271,-86.85,-89.25,,,,,,,,,,,,train_full_groupby_mean_data
1,2.0,0.5,2,138.2855150000001,9.5,1461868627683.0,-80.12820512820512,,,,,,,,,-80.36111111111111,-81.2051282051282,,-85.07894736842105,-85.44736842105263,-85.13157894736842,-89.0,-88.0,-51.725,-51.85,-89.0,-69.375,-69.375,-51.9,-69.425,-88.6,-89.0,-88.5,-89.4,,,,,,,,,,,,train_full_groupby_mean_data
2,4.0,0.5,2,133.06755342500014,9.5,1461868631879.5,-79.17241379310344,,,,,,,,,-79.22222222222223,-78.5625,,-85.5,-85.8108108108108,-85.6923076923077,-88.38095238095238,-87.8,-48.95,-49.3,-88.42857142857143,-61.45,-61.55,-48.85,-61.55,-90.0,-90.0,-89.0,-86.15,,,,,,,,,,,,train_full_groupby_mean_data
3,6.0,0.5,2,123.5487200000002,9.5,1461868633891.5,-72.93548387096774,,,,,,,,,-72.44117647058823,-73.51351351351352,,-82.75,-82.70270270270271,-82.71794871794872,-85.84848484848484,-85.63636363636364,-41.675,-42.0,-86.46875,-64.05,-64.075,-42.025,-64.35,,,,-88.21052631578948,,,,,,,,,,,,train_full_groupby_mean_data
4,8.0,0.5,2,161.97699914999993,9.5,1461868652788.0,-75.44736842105263,,,,,,,,,-75.62162162162163,-75.2,,-80.025,-80.8157894736842,-80.125,-84.0,-83.57142857142857,-57.925,-58.05,-84.68571428571428,-66.125,-66.2,-58.0,-65.95,,,-89.0,-89.33333333333333,-90.28571428571429,,,,,,,,,,,train_full_groupby_mean_data
5,10.0,0.5,2,141.1468266000001,9.5,1461868654870.5,-71.425,-88.78125,-88.07407407407408,,-88.75,,,,,-71.6,-71.375,,-79.8,-79.58974358974359,-79.725,-85.94736842105263,-86.61538461538461,-56.85,-57.025,-86.19354838709677,-69.125,-69.25,-57.05,-69.025,,,,-88.5,-89.6,,,,,,,,,,,train_full_groupby_mean_data
6,12.0,0.5,2,132.5333335000002,9.5,1461868650025.5,-69.525,-86.875,-87.28205128205128,-90.0,-87.52941176470588,,,,,-69.45,-69.425,-91.0,-72.55,-72.3,-72.75,-80.475,-80.125,-58.375,-58.625,-80.6,-73.125,-72.925,-58.35,-73.5,,,,,-90.6,,,,,,,,,,,train_full_groupby_mean_data
7,13.5,1.0,2,237.8904104250002,9.5,1461868662856.0,-59.25,-85.825,-87.15625,,-87.18181818181819,,,-84.0,-84.0,-59.375,-59.6,,-66.7,-66.6,-66.85,-81.87179487179488,-82.375,-59.325,-59.65,-81.71875,-76.35,-75.9,-59.525,-76.375,,,,,,,,-89.0,,,,,,,,train_full_groupby_mean_data
8,13.5,3.0,2,240.56590024999997,9.5,1461868711484.5,-55.275,-82.675,-81.31428571428572,-83.275,-82.08,-83.425,-83.325,-87.3,-87.22222222222223,-55.9,-55.675,-87.47368421052632,-68.05,-68.025,-68.775,-78.45,-78.97368421052632,-69.65,-69.9,-78.53846153846153,-82.59375,-80.6470588235294,-70.0,-81.10714285714286,,,,,,,,,,,,,,,,train_full_groupby_mean_data
9,13.5,5.0,2,218.052905,9.5,1461868800814.0,-51.775,-78.975,-78.84210526315789,-86.35714285714286,-79.15384615384616,-87.0,-86.97297297297297,-87.13793103448276,-87.44117647058823,-52.25,-51.225,-88.1,-61.875,-61.875,-61.55,-79.35,-79.525,-78.55,-79.05,-79.84615384615384,-84.54838709677419,-84.11538461538461,-79.2,-82.14285714285714,,,,,,-65.46153846153847,,,,,,,,,,train_full_groupby_mean_data
10,13.5,7.0,2,269.16159450000004,9.5,1461868792969.5,-49.15,-79.325,-79.325,-84.17948717948718,-79.5,-83.94871794871794,-84.25,-86.88235294117646,-86.5,-49.325,-49.35,-87.39285714285714,-63.375,-62.875,-63.225,-78.625,-78.975,-83.17948717948718,-83.575,-78.65,-86.1891891891892,-86.25,-83.48717948717949,-86.8,,,,-89.5,,-75.1,,,,,,,,,,train_full_groupby_mean_data
11,13.5,9.0,2,279.3736600000001,9.5,1461868772468.5,-52.7,-78.725,-78.9,-83.65,-78.52631578947368,-83.45,-83.625,-86.92105263157895,-87.12820512820512,-52.6,-52.825,-87.35135135135135,-58.65,-59.0,-59.025,-77.95,-78.48717948717949,-81.175,-81.325,-78.3,-86.17241379310344,-87.66666666666667,-81.3,-88.0,,,,-90.0,,,,,,,,,,,,train_full_groupby_mean_data
12,13.5,11.0,2,180.65829500000018,9.5,1461868749701.5,-46.45,-72.975,-72.675,-80.05128205128206,-72.675,-79.02564102564102,-80.28947368421052,-79.175,-79.675,-46.5,-46.5,-79.1,-61.45,-61.7,-61.333333333333336,-77.5,-78.02564102564102,-79.825,-80.05,-78.2,-88.125,-88.0,-79.9,-87.85714285714286,,,,,,,,,,,,,,,,train_full_groupby_mean_data
13,15.5,11.0,2,270.40130000000005,9.5,1461868760524.5,-47.35,-68.55,-68.95,-77.1,-69.675,-76.95,-77.35,-78.525,-78.3,-48.475,-48.55,-78.38461538461539,-66.15,-65.25,-65.475,-83.32432432432432,-83.1842105263158,-83.52,-83.92307692307692,-83.3030303030303,-88.42857142857143,-89.0,-83.58333333333333,-89.66666666666667,,,,,,,,,,,,,,,,train_full_groupby_mean_data
14,17.5,11.0,2,284.00080175000005,9.5,1461868878474.0,-48.625,-69.4,-70.05,-76.925,-69.325,-75.95,-77.375,-76.125,-76.4,-48.75,-48.6,-75.725,-57.3,-56.675,-57.775,-85.8,-85.38235294117646,-84.7,-84.775,-85.67647058823529,,,-85.05,,,,,,,,,,,,,,,,,train_full_groupby_mean_data
15,19.5,11.0,2,115.4862120500002,9.5,1461868874356.0,-56.425,-71.9,-71.6,-72.0,-71.85,-71.075,-72.25,-76.15,-76.2,-56.15,-56.475,-75.875,-59.575,-59.475,-59.825,-83.61111111111111,-83.51515151515152,-86.05263157894737,-86.47368421052632,-84.04166666666667,,,-86.05,,,,,,,,-89.66666666666667,,,,,,,,,train_full_groupby_mean_data
16,21.5,11.0,2,130.6216743249999,9.5,1461868814041.5,-57.2,-65.3,-65.65,-69.35,-65.1,-68.725,-69.075,-77.175,-77.1,-56.975,-57.375,-76.275,-70.65,-70.55,-70.625,-85.90625,-86.0,,,-85.70833333333333,,,,,,,,,,,,,,,,,,,,train_full_groupby_mean_data
17,23.5,11.0,2,154.04066674999996,9.5,1461868796482.5,-55.0,-61.1,-60.725,-67.55,-60.8,-67.35,-67.6,-73.95,-73.65,-55.125,-55.0,-73.7,-73.375,-73.15,-73.1,-87.16666666666667,-87.52173913043478,-88.3125,-87.82352941176471,-87.875,,,-88.0,,,,,,,,-90.0,,,,,,,,,train_full_groupby_mean_data
18,25.5,11.0,2,129.50834100000003,9.5,1461868788182.0,-63.9,-56.425,-56.825,-69.825,-56.55,-69.525,-69.975,-79.4,-79.475,-63.725,-63.875,-79.55,-73.4,-73.225,-73.3,-88.8,-87.75,,,-87.71428571428571,,,,,,,,,,,-88.0,,,,,,,,,train_full_groupby_mean_data
19,27.5,11.0,2,116.57102899999995,9.5,1461868806641.0,-66.975,-56.275,-56.275,-59.1,-56.2,-58.95,-59.1,-75.675,-75.975,-67.55,-67.3,-75.725,-73.225,-72.425,-73.25,-88.16666666666667,-87.0,,,-90.0,,,,,,,,,,,-90.0,,,,,,,,,train_full_groupby_mean_data
20,29.5,11.0,2,126.95821349999979,9.5,1461868808622.5,-61.15,-51.125,-51.1,-58.075,-51.05,-57.5,-58.325,-78.25,-78.575,-61.475,-61.55,-78.075,-76.875,-76.12820512820512,-77.0,,,,,,,,,,,,,,,,-90.33333333333333,,,,,,,,,train_full_groupby_mean_data
21,31.5,11.0,2,114.79324490000018,9.5,1461868864599.0,-66.9,-45.825,-45.975,-61.925,-45.875,-61.525,-62.475,-75.25,-75.375,-67.075,-67.05,-75.1,-77.35897435897436,-75.0,-77.175,,,,,,,,,,,,,,,,-91.0,,-89.0,-87.66666666666667,-87.0,,,,,train_full_groupby_mean_data
22,33.5,11.0,2,279.111909,9.5,1461868880380.0,-68.275,-48.85,-48.875,-56.975,-48.8,-56.875,-56.925,-75.375,-75.475,-68.3,-67.9,-75.6,-76.575,-76.475,-76.325,,,,,,,,,,,,,,,,-87.53333333333333,,-89.0,-88.0,-88.33333333333333,-90.0,-91.0,,,train_full_groupby_mean_data
23,35.5,11.0,2,119.87686178849985,9.5,1461868917806.5,-73.9,-57.75,-57.6,-69.45,-58.2,-69.525,-69.45,-80.45,-80.725,-73.55,-74.125,-80.65,-80.3076923076923,-79.575,-80.15,,,,,,,,,,,,,,,,-88.08333333333333,,-88.0,-89.0,-88.33333333333333,,,-89.0,-90.66666666666667,train_full_groupby_mean_data
24,37.5,11.0,2,121.62277300000002,9.5,1461868934156.0,-76.925,-64.875,-64.975,-71.625,-64.975,-72.0,-72.825,-85.2,-85.55,-76.825,-77.425,-85.55,-81.075,-80.65,-80.825,,,,,,,,,,,,,,,,-87.0,,-87.3125,-86.125,-87.66666666666667,-89.5,-90.33333333333333,-88.5,,train_full_groupby_mean_data
